sha256	size_bytes	path	note
afd541131dce5f58014d087dc6c148db7c70dfe7dbdab891a61264f3078dc1a9	6633	TTRL/important_experiment_logs/q3b2_basemodel_math500_val_n1.log	raw stdout/stderr log omitted from slim git archive
8d7b7739628a666eebdd64b305fe2f790afdb0cb7e7020714caafe9c81bdc475	187306	TTRL/important_experiment_logs/q3b2_smoke_t10.log	raw stdout/stderr log omitted from slim git archive
cd0e95dceca6c0b645a6b3080b66d760ad41487e4a41c91365f6108c2eec68d3	173113	TTRL/important_experiment_logs/q3b2_smoke_t11.log	raw stdout/stderr log omitted from slim git archive
3db8f973fb6b5eb1e3a9b7633331c92f15e4d1268bd08fd9e56acec259554457	137655	TTRL/important_experiment_logs/q3b2_smoke_t3.log	raw stdout/stderr log omitted from slim git archive
50c476a903971b502a97704a7b6a2e45a8d272acbceb4b24a81ca1ee93b587fc	94764	TTRL/important_experiment_logs/q3b2_smoke_t4.log	raw stdout/stderr log omitted from slim git archive
e14090de135b1a4910654ad07cf18c6acab8052872314b07be592e10ccfb2a65	120001	TTRL/important_experiment_logs/q3b2_smoke_t5.log	raw stdout/stderr log omitted from slim git archive
9ad7c8cec97308a730d770cfe37d553820a05fba77494f11f89981f90e7c51a2	182689	TTRL/important_experiment_logs/q3b2_smoke_t6.log	raw stdout/stderr log omitted from slim git archive
b146fea9a8010b96ba04a68bbeab235b9deb23478be165c3e8979909870a7802	179985	TTRL/important_experiment_logs/q3b2_smoke_t7.log	raw stdout/stderr log omitted from slim git archive
15f8a2c4ec74650e8baf8f58f7211c94b730ad00773db2f4f4bdef54ace9be79	188643	TTRL/important_experiment_logs/q3b2_smoke_t8.log	raw stdout/stderr log omitted from slim git archive
500b39e73422e5b9cdc8ffcc787d3022ddd0bf24ec27a2224ef179a1b5c80905	187513	TTRL/important_experiment_logs/q3b2_smoke_t9.log	raw stdout/stderr log omitted from slim git archive
e4f2e8d778c7a322cbe3926d013f3fa3bb06dffb93874a3ef5d20dd87c22751f	188894	TTRL/important_experiment_logs/q3v1.log	raw stdout/stderr log omitted from slim git archive
c79dafae18fa72ab04bff6edd717c0b5c7a684f78b993bb3864cfcf9a3aacd2d	166416	TTRL/important_experiment_logs/q3v1p1024.log	raw stdout/stderr log omitted from slim git archive
a18cd45fd33eba513261cc9961bf5dd71703f843ac83469278669800ee779b32	692	TTRL/important_experiment_logs/qwen3_30b_a3b_b200_2gpu_ttrl_smoke_test1.log	raw stdout/stderr log omitted from slim git archive
9ad9d602dd6444b522a70af1b3eb8fa146d8bf5d59bba2f1433ddb155c26c4a9	6105	TTRL/important_experiment_logs/qwen3_30b_a3b_b200_2gpu_ttrl_smoke_test2.log	raw stdout/stderr log omitted from slim git archive
abb6942d2dce35561d8889d0ea17e4672cee2211c9641fd06c2dac3cd6a39052	484	TTRL/important_experiment_logs/qwen3_30b_a3b_base_gpqa_n16_eval.log	raw stdout/stderr log omitted from slim git archive
9ed73e82489b7d0f525fbbab3f158ffde0a4d24188ecc4456fafa77a44a94911	96156	TTRL/important_experiment_logs/qwen3_30b_a3b_base_gpqa_n16_mlen4096_eval.log	raw stdout/stderr log omitted from slim git archive
88cff28a37dbe1ce23cddf6b711ef108527144a8c55c8824184e98542651a4c2	160622	TTRL/important_experiment_logs/qwen3_30b_a3b_base_math500_n16_full_eval.log	raw stdout/stderr log omitted from slim git archive
4c719f5d7d0c0a4d21c053a021691f7b2aae8dbbbde1ac7055d6dbc2b86dfb0b	50492	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_debug_smoke.log	raw stdout/stderr log omitted from slim git archive
1f1be2e577a162b772f6b93d830449d075b65b18d75ed8e91152effd19622698	91376	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_math500_n16_full_eval.log	raw stdout/stderr log omitted from slim git archive
aef479f32eb2e1f593b55e0ad32b93f7c12b75ac4d6e3aa11edf67f1c52d76bc	75778	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_math500_n16_limit100_eval.log	raw stdout/stderr log omitted from slim git archive
c2105c45e2befabc83eafe6e4b4d0aa4c98bb9da12028566e320316fd4b3a757	96724	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_stochastic_gpqa_n16_mlen4096_eval.log	raw stdout/stderr log omitted from slim git archive
fcef3a14bcbc9e246d0d4e0535f2bda286e984b727e0a9ea246dcae05fdc6b81	160913	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_stochastic_math500_n16_full_eval.log	raw stdout/stderr log omitted from slim git archive
af8aacc7cd26c95482274b77b93f05d3687f522e62c7ac50830c544367dd9ae5	75964	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_stochastic_math500_n16_limit100_eval.log	raw stdout/stderr log omitted from slim git archive
fa5ea98f40cd76a3d08a02a4598d07e0cbb3e89477b2718f3af71cc6dd016e95	160849	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k7_pool16_tau05_math500_n16_full_eval.log	raw stdout/stderr log omitted from slim git archive
035f69754a8f11ad77835ad462f437bcb4529d0d5976c1032ad0f9d0edc9994a	75950	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k7_pool16_tau05_v2_math500_n16_limit100_eval.log	raw stdout/stderr log omitted from slim git archive
d5304f72d26ff4074fc47618baf3c383079f3f60d4ee80494fd0eb07eec132e9	50887	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_stochastic_debug_smoke.log	raw stdout/stderr log omitted from slim git archive
